Predictive Task,Feature Set,CART,ElasNet,KNN,Lasso,Linreg,SVR
CashRatio_t1,all variables,0.027931674780768637,0.02390154496712952,0.025273062322481166,0.023647414461308188,0.02417065373878482,0.023301560986977398
CashRatio_t1,base,0.025620472131821767,0.022112638820592504,0.024265156257047598,0.02207738233808777,0.022150025222106993,0.023952052271913153
CashRatio_t1,fin-st vars,2.085709176158625e-05,2.8980211447266054e-07,0.004425051103004158,1.0227772656042146e-06,1.0269007094369611e-32,
CashRatio_t1,new vars,0.02570733870624139,0.022078024786716128,0.024353956731839505,0.022047958558803864,0.02211050879301344,0.026593015885421893
NetMargin_t1,all variables,0.02962697345667099,0.023856171911995034,0.026074482910612307,0.023633157001956638,0.024119962124524292,0.025014701676073375
NetMargin_t1,base,0.026497002116089977,0.022980165043245338,0.025016937520449024,0.022959326829729062,0.023002756452300505,0.02421791104818571
NetMargin_t1,fin-st vars,0.029819805308391387,0.022927644321696052,0.02755026969879303,0.022861493576639108,0.023004993307095378,0.026228836218441486
NetMargin_t1,new vars,0.025006269406889915,0.022924134428405088,0.027698291080100336,0.022901712651825886,0.022958715651576835,0.02570497957971988
OCG_t1,all variables,0.024476444435639046,0.021649703894477988,0.025835415811769895,0.021501829441417288,0.02183196900344009,0.021750211475671067
OCG_t1,base,0.025543485738984007,0.02109864792176205,0.024580562671825835,0.021087563986324744,0.021111415147291507,0.0229670349430463
OCG_t1,fin-st vars,0.024833134416982327,0.02143398508041704,0.026041535156214348,0.021344626853019865,0.02152005843284068,0.022507548143120882
OCG_t1,new vars,0.02347190679032663,0.021030389104759604,0.023485135398207804,0.02100994078339668,0.021064322932634008,0.025950928037089337
OperatingMargin_t1,all variables,0.022754735481652296,0.020348982538548086,0.024950444287537846,0.020184984814366237,0.020542248854677293,0.021073638065820556
OperatingMargin_t1,base,0.020468258545794454,0.01987578164533679,0.022936585877202386,0.0198383456498473,0.019914957745243978,0.020820777312508636
OperatingMargin_t1,fin-st vars,0.023969639507163423,0.020192740305230085,0.023472890036097517,0.020088505890507473,0.020313008714311902,0.02272677832981069
OperatingMargin_t1,new vars,0.02235746045908113,0.019689529585667536,0.023573557929859365,0.019664296339191575,0.01971999350688512,0.024474165168000613
ROA_t1,all variables,0.02690311799737607,0.021490267317716992,0.02352125503381193,0.021271317443812755,0.021737257852549985,0.021280529139331945
ROA_t1,base,0.02336266954786991,0.020713811202250354,0.024735831799384215,0.02070495280672258,0.020722078696245903,0.021909430083908853
ROA_t1,fin-st vars,0.0246870543022106,0.021373294429550386,0.0231806353378488,0.02124746316066735,0.021534198489001313,0.021884350720381397
ROA_t1,new vars,0.021467314267618862,0.02085941785469026,0.02483166900386617,0.020810368070072444,0.020918897356036928,0.024074235312693246
ROE_t1,all variables,0.025386733093307204,0.023812518804097575,0.02412200585931309,0.02358482898581905,0.024096002363037532,0.023277540741701533
ROE_t1,base,0.02359997007825586,0.021892897203536363,0.023238407380477652,0.0218874981650267,0.02189998989473705,0.021415952586053565
ROE_t1,fin-st vars,0.024187108797234645,0.02287099762171934,0.026189731144640172,0.022764573986446903,0.022999112012544315,0.022771019556067387
ROE_t1,new vars,0.023185363375942365,0.02182691865468744,0.025492612514336956,0.02182159078960563,0.02183743162803027,0.02581158130906659
